Passenger_ID,Age,Gender,Nationality,Travel_Purpose,Flight_Number,Airline_Name,Class,Flight_Distance,Departure_City,Arrival_City,Departure_Delay,Arrival_Delay,Flight_Duration,Flight_Route_Type,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Complaint_Type,Feedback_Comments,Seat_Type,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Booking_Channel,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Frequent_Route,Payment_Method,Airline_Loyalty_Program
1,50,Male,Indian,Leisure,AI165,TruJet,Business,1441,Pune,Kolkata,15,5,86,Domestic,0,0,6,10,10,4,6,10,6,2,0,Neutral,0.0,0,No Complaint,No Feedback,Standard,Gold,0,1,1,Travel Agency,0,0,0.0,0,No,Delhi - Mumbai,UPI,SpiceClub
2,50,Female,Indian,Business,AI741,AirAsia India,Economy,1441,Bangalore,Jaipur,15,5,86,Domestic,3,10,0,10,10,10,0,6,0,0,1,Happy,1.0,0,Unhygienic Toilets,Terrible experience.,Window,Silver,0,0,0,Mobile App,0,1,1.0,1,No,Pune - Delhi,Credit Card,IndiGo 6E Rewards
3,55,Male,Indian,Leisure,AI129,Vistara,Business,1441,Chennai,Pune,0,5,86,Domestic,10,0,5,0,0,10,6,0,2,0,0,Satisfied,0.0,1,Turbulence,Bad,Middle,No,1,0,0,Online,0,1,0.0,0,Sometimes,Pune - Delhi,Net Banking,Flying Returns (Air India)
4,50,Female,Indian,Leisure,AI229,SpiceJet,Economy,1441,Bhubaneswar,Bangalore,15,5,86,Domestic,10,10,4,0,5,10,3,10,1,0,0,Satisfied,0.0,0,Turbulence,No Feedback,Window,Gold,0,0,0,Travel Agency,0,0,0.0,0,Yes,Delhi - Mumbai,UPI,Flying Returns (Air India)
5,25,Female,Indian,Family,AI340,SpiceJet,Business,5000,Lucknow,Bhubaneswar,0,0,300,Domestic,10,10,6,10,6,10,6,0,6,0,0,Dissatisfied,1.0,0,No Complaint,No Feedback,Standard,No,0,0,1,Airport Counter,0,1,1.0,0,Yes,Bangalore - Hyderabad,Debit Card,Flying Returns (Air India)
6,62,Female,Indian,Business,AI328,TruJet,First Class,2738,Delhi,Ahmedabad,0,5,164,Domestic,0,2,6,0,0,10,6,10,6,0,0,Satisfied,0.0,0,Food,Good,Aisle,Silver,1,0,0,Online,1,1,0.0,1,Yes,Pune - Delhi,Credit Card,IndiGo 6E Rewards
7,50,Male,Indian,Family,AI267,Air India,Economy,5000,Mumbai,Jaipur,15,0,300,Domestic,10,10,6,3,10,0,2,10,6,0,1,Satisfied,0.0,0,Broken Entertainment System,Food was cold.,Middle,Gold,0,0,1,Online,0,0,0.0,0,Yes,Delhi - Mumbai,UPI,Club Vistara
8,90,Female,Indian,Family,AI223,TruJet,First Class,2054,Pune,Bangalore,15,0,123,Domestic,0,0,10,0,0,10,6,0,0,3,0,Neutral,0.0,0,No Complaint,WiFi was not working.,Standard,Silver,0,1,0,Travel Agency,0,1,1.0,1,Yes,Pune - Delhi,Credit Card,IndiGo 6E Rewards
9,50,Male,Indian,Business,AI608,SpiceJet,Economy,1441,Bangalore,Pune,0,5,86,Domestic,10,0,0,10,10,0,0,10,10,2,1,Happy,0.0,1,Long Security Check,WiFi was not working.,Middle,Platinum,0,1,0,Airport Counter,1,1,1.0,0,No,Delhi - Mumbai,Net Banking,Club Vistara
10,50,Male,Indian,Leisure,AI778,GoAir,Business,5000,Bangalore,Mumbai,15,0,300,Domestic,10,6,0,0,6,6,6,0,6,5,1,Satisfied,0.0,1,Bad Experience,WiFi was not working.,Standard,Silver,1,1,0,Online,0,1,1.0,0,No,Bangalore - Hyderabad,UPI,Flying Returns (Air India)
