Passenger_ID,Age,Gender,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Flight_Duration,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Feedback_Comments,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Frequent_Route,Travel_Purpose_Family,Travel_Purpose_Leisure,Travel_Purpose_Medical,Travel_Purpose_Study,Travel_Purpose_Transit,Airline_Name_AirAsia India,Airline_Name_Akasa Air,Airline_Name_Alliance Air,Airline_Name_GoAir,Airline_Name_Indigo,Airline_Name_SpiceJet,Airline_Name_TruJet,Airline_Name_Vistara,Departure_City_Bangalore,Departure_City_Bhubaneswar,Departure_City_Chennai,Departure_City_Delhi,Departure_City_Guwahati,Departure_City_Hyderabad,Departure_City_Jaipur,Departure_City_Kochi,Departure_City_Kolkata,Departure_City_Lucknow,Departure_City_Mumbai,Departure_City_Pune,Arrival_City_Bangalore,Arrival_City_Bhubaneswar,Arrival_City_Chennai,Arrival_City_Delhi,Arrival_City_Guwahati,Arrival_City_Hyderabad,Arrival_City_Jaipur,Arrival_City_Kochi,Arrival_City_Kolkata,Arrival_City_Lucknow,Arrival_City_Mumbai,Arrival_City_Pune,Complaint_Type_Broken Entertainment System,Complaint_Type_Delay,Complaint_Type_Food,Complaint_Type_Long Security Check,Complaint_Type_No Complaint,Complaint_Type_Other,Complaint_Type_Service,Complaint_Type_Turbulence,Complaint_Type_Unhygienic Toilets,Seat_Type_Middle,Seat_Type_Standard,Seat_Type_Window,Booking_Channel_Mobile App,Booking_Channel_Online,Booking_Channel_Travel Agency,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Airline_Loyalty_Program_Flying Returns (Air India),Airline_Loyalty_Program_IndiGo 6E Rewards,Airline_Loyalty_Program_SpiceClub
1,50,1,0,1441,15,5,86,0,0,6,10,10,4,6,10,6,2,0,2,0.0,0,No Feedback,0,0,1,1,0,0,0.0,0,0,Delhi - Mumbai,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
2,50,0,1,1441,15,5,86,3,10,0,10,10,10,0,6,0,0,1,1,1.0,0,Terrible experience.,3,0,0,0,0,1,1.0,1,0,Pune - Delhi,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
3,55,1,0,1441,0,5,86,10,0,5,0,0,10,6,0,2,0,0,3,0.0,1,Bad,1,1,0,0,0,1,0.0,0,1,Pune - Delhi,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False
4,50,0,1,1441,15,5,86,10,10,4,0,5,10,3,10,1,0,0,3,0.0,0,No Feedback,0,0,0,0,0,0,0.0,0,2,Delhi - Mumbai,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
5,25,0,0,5000,0,0,300,10,10,6,10,6,10,6,0,6,0,0,0,1.0,0,No Feedback,1,0,0,1,0,1,1.0,0,2,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
6,62,0,2,2738,0,5,164,0,2,6,0,0,10,6,10,6,0,0,3,0.0,0,Good,3,1,0,0,1,1,0.0,1,2,Pune - Delhi,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
7,50,1,1,5000,15,0,300,10,10,6,3,10,0,2,10,6,0,1,3,0.0,0,Food was cold.,0,0,0,1,0,0,0.0,0,2,Delhi - Mumbai,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
8,90,0,2,2054,15,0,123,0,0,10,0,0,10,6,0,0,3,0,2,0.0,0,WiFi was not working.,3,0,1,0,0,1,1.0,1,2,Pune - Delhi,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
9,50,1,1,1441,0,5,86,10,0,0,10,10,0,0,10,10,2,1,1,0.0,1,WiFi was not working.,2,0,1,0,1,1,1.0,0,0,Delhi - Mumbai,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
10,50,1,0,5000,15,0,300,10,6,0,0,6,6,6,0,6,5,1,3,0.0,1,WiFi was not working.,3,1,1,0,0,1,1.0,0,0,Bangalore - Hyderabad,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False
11,50,1,2,5000,0,5,300,10,2,10,0,0,2,0,0,0,0,1,3,1.0,0,Loved the flight.,1,0,0,1,0,0,0.0,1,2,Bangalore - Hyderabad,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,50,1,2,912,0,0,54,4,10,0,0,6,10,0,5,10,0,0,1,0.0,0,Good,1,0,1,0,0,1,0.0,0,0,Pune - Delhi,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False
13,74,0,1,604,15,5,36,0,10,5,0,3,10,10,10,0,4,0,2,0.0,1,Loved the flight.,2,1,1,1,1,0,1.0,0,2,Chennai - Kolkata,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False
14,90,0,1,1441,0,5,86,0,6,10,6,10,10,5,6,4,0,1,3,0.0,1,Loved the flight.,3,0,0,0,1,0,0.0,0,2,Chennai - Kolkata,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
15,50,0,1,1441,15,0,86,0,5,0,0,10,10,0,6,2,5,1,2,0.0,0,Food was cold.,1,0,1,0,0,0,0.0,1,0,Delhi - Mumbai,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
16,19,0,2,1441,10,5,86,4,0,0,6,0,10,0,10,0,0,0,3,1.0,0,Loved the flight.,2,0,1,1,0,0,0.0,1,2,Delhi - Mumbai,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
17,90,1,1,1441,0,5,86,5,0,10,2,0,10,10,0,5,0,0,3,0.0,0,No Feedback,1,0,0,1,1,0,0.0,0,2,Delhi - Mumbai,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18,73,1,1,1441,15,0,86,10,6,1,10,10,10,0,1,0,5,1,1,0.0,0,Food was cold.,1,0,1,0,0,0,0.0,1,0,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
19,50,1,2,5000,0,0,300,1,10,0,0,6,10,10,0,0,0,0,2,1.0,0,Loved the flight.,3,0,1,0,0,1,0.0,1,1,Delhi - Mumbai,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,90,1,2,1441,15,5,86,10,0,10,10,10,0,3,10,6,0,1,0,1.0,1,WiFi was not working.,3,0,0,0,0,0,0.0,1,0,Delhi - Mumbai,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
