Passenger_ID,Age,Gender,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Flight_Duration,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Feedback_Comments_Food was cold.,Feedback_Comments_Good,Feedback_Comments_Great service!,Feedback_Comments_Loved the flight.,Feedback_Comments_No Feedback,Feedback_Comments_Terrible experience.,Feedback_Comments_WiFi was not working.,Frequent_Route_Chennai - Kolkata,Frequent_Route_Delhi - Mumbai,Frequent_Route_Pune - Delhi,Travel_Purpose_Family_True,Travel_Purpose_Leisure_True,Travel_Purpose_Medical_True,Travel_Purpose_Study_True,Travel_Purpose_Transit_True,Airline_Name_AirAsia India_True,Airline_Name_Akasa Air_True,Airline_Name_Alliance Air_True,Airline_Name_GoAir_True,Airline_Name_Indigo_True,Airline_Name_SpiceJet_True,Airline_Name_TruJet_True,Airline_Name_Vistara_True,Departure_City_Bangalore_True,Departure_City_Bhubaneswar_True,Departure_City_Chennai_True,Departure_City_Delhi_True,Departure_City_Guwahati_True,Departure_City_Hyderabad_True,Departure_City_Jaipur_True,Departure_City_Kochi_True,Departure_City_Kolkata_True,Departure_City_Lucknow_True,Departure_City_Mumbai_True,Departure_City_Pune_True,Arrival_City_Bangalore_True,Arrival_City_Bhubaneswar_True,Arrival_City_Chennai_True,Arrival_City_Delhi_True,Arrival_City_Guwahati_True,Arrival_City_Hyderabad_True,Arrival_City_Jaipur_True,Arrival_City_Kochi_True,Arrival_City_Kolkata_True,Arrival_City_Lucknow_True,Arrival_City_Mumbai_True,Arrival_City_Pune_True,Complaint_Type_Broken Entertainment System_True,Complaint_Type_Delay_True,Complaint_Type_Food_True,Complaint_Type_Long Security Check_True,Complaint_Type_No Complaint_True,Complaint_Type_Other_True,Complaint_Type_Service_True,Complaint_Type_Turbulence_True,Complaint_Type_Unhygienic Toilets_True,Seat_Type_Middle_True,Seat_Type_Standard_True,Seat_Type_Window_True,Booking_Channel_Mobile App_True,Booking_Channel_Online_True,Booking_Channel_Travel Agency_True,Payment_Method_Credit Card_True,Payment_Method_Debit Card_True,Payment_Method_Net Banking_True,Payment_Method_UPI_True,Airline_Loyalty_Program_Flying Returns (Air India)_True,Airline_Loyalty_Program_IndiGo 6E Rewards_True,Airline_Loyalty_Program_SpiceClub_True
1,50,1,0,1441,15,5,86,1,1,4,5,5,3,4,5,4,2,0,2,0.0,0,0,0,1,1,0,0,0.0,0,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
2,50,0,1,1441,15,5,86,2,5,1,5,5,5,1,4,1,1,1,1,1.0,0,3,0,0,0,0,1,1.0,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
3,55,1,0,1441,0,5,86,5,1,4,1,1,5,4,1,2,1,0,3,0.0,1,1,1,0,0,0,1,0.0,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False
4,50,0,1,1441,15,5,86,5,5,3,1,4,5,2,5,2,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0,2,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
5,25,0,0,5000,0,0,300,5,5,4,5,4,5,4,1,4,1,0,0,1.0,0,1,0,0,1,0,1,1.0,0,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
6,62,0,2,2738,0,5,164,1,2,4,1,1,5,4,5,4,1,0,3,0.0,0,3,1,0,0,1,1,0.0,1,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
7,50,1,1,5000,15,0,300,5,5,4,2,5,1,2,5,4,1,1,3,0.0,0,0,0,0,1,0,0,0.0,0,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
8,90,0,2,2054,15,0,123,1,1,5,1,1,5,4,1,1,2,0,2,0.0,0,3,0,1,0,0,1,1.0,1,2,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
9,50,1,1,1441,0,5,86,5,1,1,5,5,1,1,5,5,2,1,1,0.0,1,2,0,1,0,1,1,1.0,0,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
10,50,1,0,5000,15,0,300,5,4,1,1,4,4,4,1,4,4,1,3,0.0,1,3,1,1,0,0,1,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False
